"Year","Port","Millions of Pounds"," Millions of Dollars"
"2001","Tampa Bay-St. Petersburg, FL","12.7","20.2"
"2001","Fort Myers, FL","8.7","18.7"
"2001","Cape Canaveral, FL","8.2","11.3"
"2001","Port St. Joe, FL","7.6","5"
"2001","Apalachicola, FL","6.2","10.9"
"2001","Mayport, FL","4","8.3"
"2001","Ft. Pierce-St.Lucie, FL","3.7","4.5"
"2000","Key West, FL","16.9","50.6"
"2000","Tampa Bay-St. Petersburg, FL","11.7","20.4"
"2000","Cape Canaveral, FL","10.9","15.3"
"2000","Apalachicola, FL","10.3","11.4"
"2000","Fort Myers, FL","7.9","16.5"
"2000","Mayport, FL","4.5","9.9"
"2000","Everglades City, FL","3.5","9"
"2000","Ft. Pierce-St.Lucie, FL","3.2","4.5"
"1999","Key West, FL","19.8","51.9"
"1999","Tampa Bay-St. Petersburg, FL","11.1","19.2"
"1999","Fort Myers, FL","9.7","18.9"
"1999","Cape Canaveral, FL","8.9","11.9"
"1999","Port St. Joe, FL","8.3","6.3"
"1999","Apalachicola, FL","6.8","10.3"
"1999","Panama City, FL","4.1","5.2"
"1999","Mayport, FL","3.9","7.7"
"1998","Key West, FL","18.9","44.8"
"1998","Tampa Bay-St. Petersburg, FL","14.4","28.7"
"1998","Fort Myers, FL","10.9","20.5"
"1998","Cape Canaveral, FL","8.9","10.6"
"1998","Port St. Joe, FL","7.3","5.7"
"1998","Apalachicola, FL","6.4","10.7"
"1998","Mayport, FL","3.5","7.3"
"1997","Key West, FL","18.8","54.9"
"1997","Cape Canaveral, FL","10.3","15.6"
"1997","Tampa Bay-St. Petersburg, FL","9.4","17.6"
"1997","Fort Myers, FL","7.7","16"
"1997","Apalachicola, FL","5.6","12.3"
"1997","Mayport, FL","3.9","6.1"
"1997","Panama City, FL","3.6","5.5"
"1997","Naples, FL","3.4",""
"1996","Naples, FL","","9.7"
"1996","Key West, FL","23.7","62.8"
"1996","Cape Canaveral, FL","21.2","17.7"
"1996","Tampa Bay-St. Petersburg, FL","11.8","20"
"1996","Fort Myers, FL","11","19.3"
"1996","Apalachicola, FL","6.5","14.1"
"1995","Key West, FL","23.4","66.7"
"1995","Tampa Bay-St. Petersburg, FL","10.9","18.2"
"1995","Cape Canaveral, FL","10.1","16.9"
"1995","Fort Myers, FL","8.5","15.9"
"1995","Panama City, FL","5.4","2.4"
"1995","Apalachicola, FL","4.7","10.2"
"1995","Mayport, FL","4.3","8"
"1994","Key West, FL","21.5","53"
"1994","Cape Canaveral, FL","19.5","30.6"
"1994","Port St. Joe, FL","15.1","4"
"1994","Tampa Bay-St. Petersburg, FL","11.3","20.9"
