Year,Port,Millions of Pounds,State
2015,"Provincetown-Chatham, MA",21.2,MA
2015,"Coos Bay-Charleston, OR",20.6,OR
2015,"Bayou La Batre, AL",20.2,AL
2015,"Stonington, ME",19.1,ME
2015,"Wanchese-Stumpy Point, NC",18.2,NC
2015,"Key West, FL",17.3,FL
2015,"Juneau, AK",16.7,AK
2015,"Galveston, TX",16.4,TX
2015,"North Kingstown, RI",16.1,RI
2015,"Golden Meadow-Leeville, LA",16.0,LA
2015,"Palacios, TX",15.4,TX
2015,"Los Angeles, CA",14.7,CA
2015,"Ilwaco-Chinook, WA",14.6,WA
2015,"Boston, MA",14.0,MA
2015,"Tampa Bay-St. Petersburg, FL",13.6,FL
2015,"Port Arthur, TX",13.6,TX
2015,"Delacroix-Yscloskey, LA",13.5,LA
2015,"Bellingham, WA",13.3,WA
2015,"Montauk, NY",11.6,NY
2015,"Hampton Roads Area, VA",11.5,VA
2015,"Princeton-Half Moon Bay, CA",10.7,CA
2015,"Anchorage, AK",10.4,AK
2015,"Brookings, OR",9.8,OR
2015,"Vinalhaven, ME",9.7,ME
2015,"Shelton, WA",9.6,WA
2015,"Gulfport-Biloxi, MS",9.3,MS
2015,"Beaufort-Morehead City, NC",8.6,NC
2015,"Eureka, CA",8.4,CA
2015,"Newport, RI",8.3,RI
2015,"Accomac, VA",8.3,VA
2015,"Fort Myers, FL",7.3,FL
2015,"Crescent City, CA",7.0,CA
2015,"Homer, AK",6.7,AK
2015,"Engelhard-Swanquarter, NC",6.6,NC
2015,"Fort Bragg, CA",6.5,CA
2015,"Columbia, NC",6.5,NC
2015,"Seattle, WA",6.4,WA
2015,"Morgan City-Berwick, LA",6.4,LA
2015,"Long Beach-Barnegat, NJ",6.3,NJ
2015,"Santa Barbara, CA",6.2,CA
2015,"New London, CT",6.1,CT
2015,"Beals Island, ME",6.0,ME
2015,"Slidell-Covington, LA",5.9,LA
2015,"Portsmouth, NH",5.9,NH
2015,"Anacortes-La Conner, WA",5.9,WA
2015,"Jonesport, ME",5.8,ME
2015,"Fairhaven, MA",5.8,MA
2015,"Mayport, FL",5.7,FL
2015,"Neah Bay, WA",5.6,WA
2015,"Port St. Joe, FL",5.4,FL
2015,"Wrangell, AK",5.2,AK
2015,"Upper Southeast (Other), AK",5.2,AK
2015,"San Francisco Area, CA",5.2,CA
2015,"Friendship, ME",5.2,ME
2015,"Belford, NJ",4.9,NJ
2015,"Belhaven-Washington, NC",4.7,NC
2015,"Yakutat, AK",4.4,AK
2015,"Spruce Head, ME",4.4,ME
2015,"Cameron, LA",4.4,LA
2015,"Ocean City, MD",4.1,MD
2015,"Hampton Bay-Shinnicock, NY",4.1,NY
2015,"Oriental-Vandemere, NC",4.0,NC
2015,"Cape Canaveral, FL",4.0,FL
2015,"Panama City, FL",3.6,FL
2015,"Morro Bay, CA",3.6,CA
